,x,y
Platyrrhini,8.249731798767845,-50.079643886414246
Catarrhini,2.906329426938285,-43.606877698182906
Tarsiidae,-6.927789974524344,-33.61802922547306
Lorisidae,-1.7376355322987875,-61.93283260227324
Galagidae,-6.459490826626523,-64.85389698875781
Lemuriformes,-14.433130927349282,-56.35821669923192
Monotremata,110.71137954609108,121.8439019286326
Cingulata,-87.93324291085946,3.0984715359247677
Pilosa,-82.32243060528688,32.62771546322182
Tupaia,18.020640165312777,-24.07687838125386
Galeopterus,18.290803651562836,-38.2257176300162
Lagomorpha,-38.77724550265206,-63.1838990289647
Muroidea,-56.00265973183989,-39.79881565544948
Dipodidae,-59.39604424077352,-46.51730252680613
Geomyidae,-66.09438912077388,-30.826321516981736
Heteromyidae,-67.13133729916676,-26.37941550117811
Castor,-41.586032921067186,-40.228267610290445
Sciuridae,-37.26262137227987,-25.910640262439937
Gliridae,-60.901096632868786,-14.867564855632807
Hystricomorpha,-48.82678512174783,-20.124113068452168
Anomaluromorpha,-48.24321257541548,-52.66813628625875
Perissodactyla,-35.13820272216138,60.26957406324661
Feliformia,-10.639943644151701,62.73156168677992
Ailurus,17.047850593651837,47.98534621539115
Mephitidae,15.10574103423124,42.959968272113784
Phocidae,1.2900779511267304,46.27007309395336
Ursidae,8.090082970241752,38.85294798755136
Procyonidae,12.391743384349272,54.62101984089155
Canidae,2.223574212631564,62.0437148023444
Odobenus,2.05923013045859,52.28453369423801
Otariidae,-0.6005916425739608,50.57920106284936
Mustelidae,13.114422961298397,50.34223523512797
Manis,-27.06417149967272,67.06247192878571
Whippomorpha,-34.82768959076543,32.71433463418206
Suina,-13.929338147454098,17.924035500936352
Ruminantia,-34.393459569701555,43.157819347265345
Camelidae,-25.867857286674703,23.78080363737909
Pteropodidae,-55.2296684238435,43.27319309446866
Microchiroptera,-51.6821473316037,53.689964205162745
Erinaceidae,-53.76257422527777,18.860616251000785
Talpidae,28.15148773493928,4.295458026304023
Soricidae,14.739498508957757,2.1476616117076643
Solenodon,35.1049841627476,17.024195164198513
Afrotheria,-85.57959659456954,17.421385145778032
Peramelemorphia,115.463312677683,-65.08835158125555
Caenolestidae,129.40448103599581,-24.646779267482316
Dromiciops,131.47552545659042,1.606870629070674
Didelphidae,131.6897004667732,-7.936001197064707
Diprotodontia,120.63640357192097,-53.7946949876759
Notoryctes,108.91346697844251,-76.669800381117
Dasyuromorphia,124.73175268214072,-42.40219174228622
Daubentonia,-17.061835128872893,-65.67468547756715
