,x,y,z
Platyrrhini,22.059916314195824,63.704451602399516,3.3883532507272887
Catarrhini,30.05953080439718,59.82454945777029,-4.596327150884444
Tarsiidae,21.405983274847536,58.19813613875255,22.60499672335858
Lorisidae,47.041909572909304,21.671280427080404,2.943877012111837
Galagidae,45.987239515492796,26.04747743024479,11.226126376034014
Lemuriformes,42.51278174658723,42.07050419210866,13.450228983671607
Monotremata,98.79378562963598,-49.48682405720655,118.77090296201897
Cingulata,36.071887237735254,18.02784113264894,60.20669593308991
Pilosa,42.204231556761066,0.48681780810074143,50.74869432364634
Tupaia,-8.65685509857941,72.28464436344909,5.290958778964628
Galeopterus,45.620409953773624,16.049644458671978,-21.977937027249574
Lagomorpha,17.93666641782434,-1.6981753797878998,-42.04811235431306
Muroidea,-9.114140334413452,58.984604276583745,-32.429769672502694
Dipodidae,-20.577438372832706,53.5886891375004,-37.120290162826095
Geomyidae,-6.909582417930238,12.858341004401513,-58.48410598209279
Heteromyidae,-11.63844311424449,19.280302134324934,-58.67583962079544
Castor,12.443845374626955,18.04163277848803,-54.67982617191283
Sciuridae,-19.699843923279065,39.72428514366843,-50.84795165345461
Gliridae,10.388790370268772,52.20355730821768,-39.8457327044088
Hystricomorpha,26.61333769089705,32.71720239704074,-45.20194001016974
Anomaluromorpha,5.468908177747938,38.592944228055465,-52.712226922486195
Perissodactyla,-65.49800115310431,9.645600079704924,7.154886936680507
Feliformia,-25.478553611863614,18.304677010936842,50.03762813257351
Ailurus,-25.914170630321465,-14.096168398293264,44.17226144807709
Mephitidae,-25.697058694751604,-18.70741440091673,35.311281867619144
Phocidae,-38.638174984197875,-0.8765160926812123,42.41259994580211
Ursidae,-26.016402767097944,1.0303309571807187,48.79142056142516
Procyonidae,-18.735729658563848,-13.546529553218322,38.539787869378735
Canidae,-38.80443481577834,-20.968099831516756,29.211155272686494
Odobenus,-40.37994326334168,-8.332428656764627,39.39325384199473
Otariidae,-41.76877540855904,-4.604733779352215,37.75165439149028
Mustelidae,-18.950141351092675,-8.109026654564348,44.54997292484558
Manis,-63.20318293911464,-11.17867092924627,5.516861617051715
Whippomorpha,-52.020948742709066,35.83943766451783,25.63150411568975
Suina,-34.42127529877729,44.56166453525314,34.94418459148232
Ruminantia,-45.56962198406793,45.10330470164001,16.208571574305648
Camelidae,-57.54517697139555,32.852194242957836,5.223263685515872
Pteropodidae,-28.73685302538857,-32.56167575334469,-10.394975750911978
Microchiroptera,-47.064708048183874,-32.890246553355595,-6.721923962494636
Erinaceidae,-39.093916000057085,-16.250404181477478,-42.61077975632213
Talpidae,-55.867315208363735,2.81310675109051,-38.52741387015184
Soricidae,-60.73370594776247,19.77044696021694,-29.684086798348023
Solenodon,-55.36530793654745,-18.373014681650094,-30.53295668019396
Afrotheria,16.004671233079584,48.948815209976615,61.68418105572593
Peramelemorphia,85.47318799670057,-90.00115229828872,-38.171610485306125
Caenolestidae,28.7476171918742,-127.22375477371811,-4.732235509924392
Dromiciops,87.16326567497026,-95.03123758409332,-10.730139321860616
Didelphidae,25.07142896452532,-116.7857532084727,-54.382390210921486
Diprotodontia,64.8151803289986,-111.81183176039383,-0.12610873137862408
Notoryctes,56.48245036969273,-112.78313337496475,-29.219307706239164
Dasyuromorphia,66.8600925944271,-97.57300403210365,-54.240074526660806
Daubentonia,46.87258371035029,39.663312402427756,-6.471241432157682
