name,x,y,z
Perodicticus potto edwarsi,-7.642648496839439,-13.742316746203777,73.7549
Perodicticus potto,-4.298465179784695,-4.328870526677225,73.7549
Nycticebus pygmaeus,-14.8648862857177,3.8819838122837096,73.7549
Nycticebus bengalensis,-21.97640977123401,3.979180582154195,73.75489999999999
Nycticebus coucang,-22.216338363752904,4.173547892619565,73.75489999999999
Nycticebus javanicus,-22.165951024874797,4.78996318640991,73.75489999999999
Nycticebus menagensis,-19.516441921660267,3.2804985873822847,73.75489999999999
Loris lydekkerianus,-9.009953312064985,-8.987503817071051,73.7549
Loris tardigradus,-10.11523701092999,-8.277146107505489,73.7549
Galagoides demidoff,-26.97668811169095,6.943763823454625,73.75489999999999
Galago moholi,-13.104839228516491,-2.61001531844604,73.75486
Galago senegalensis,-13.562006854126734,-2.0208635827657,73.75486
Otolemur garnettii,-7.0004878465325895,1.9979681251211097,73.75491
Otolemur crassicaudatus,-7.581432826626015,1.074589268786295,73.75491
Daubentonia madagascariensis,-9.718611280218676,-19.92059547621835,73.7549
Avahi laniger,-8.565789118515944,-41.11843545674241,73.75487
Propithecus verreauxi,-28.640095617860982,-13.52730330914719,73.75488999999999
Propithecus coquereli,-27.74391806315382,-6.132464596765344,73.75488999999999
Propithecus tattersalli,-27.876444622104238,-7.57913162568789,73.75488999999999
Propithecus edwardsi,-25.56819842462025,-11.856916213024846,73.75488999999999
Propithecus diadema,-25.501322893867368,-13.20678295942638,73.75488999999999
Indri indri,-18.10591576058494,-16.274184078850865,73.75485
Palaeopropithecus ingens,-22.591345610683224,-4.57871263260642,73.75489999999999
Phaner electromontis,-40.06409595126211,10.849839425344369,73.75489999999999
Phaner pallescens,-38.71975894140931,10.14647086366532,73.75489999999999
Phaner parienti,-40.79908734599443,11.836879279784975,73.75489999999999
Cheirogaleus crossleyi,-33.54414536617199,-4.00569007432887,73.75486000000001
Cheirogaleus major,-32.34774803646525,-2.053175846401245,73.75486000000001
Cheirogaleus medius,-34.75645882188492,-11.779739020326655,73.75486000000001
Cheirogaleus sibreei,-38.79615136827437,-19.67000054447891,73.7549
Mirza coquereli,-40.84229579988211,4.203401778894031,73.75486000000001
Mirza zaza,-39.3456031282786,3.052894512315275,73.75486000000001
Microcebus berthae,-43.10667098271276,-6.774778556170941,73.75489999999998
Microcebus myoxinus,-41.36506799888054,-7.427609878289035,73.75489999999998
Microcebus lehilahytsara,-43.20167661557054,-8.127171029440506,73.75489999999999
Microcebus mittermeieri,-42.28782114461104,-10.85148385011272,73.75489999999998
Microcebus arnholdi,-41.414946355092766,-12.832745568997108,73.75489999999999
Microcebus sambiranensis,-42.512669594460725,-13.121485779067257,73.75489999999999
Microcebus margotmarshae,-44.33576251812856,-5.82742462191238,73.75489999999998
Microcebus mamiratra,-44.15301940407976,-4.442483898721055,73.75489999999998
Microcebus rufus,-42.18399298759872,-8.43155891479697,73.75489999999999
Microcebus tanosi,-41.77705909717263,-9.929301578449332,73.75489999999999
Microcebus jollyae,-39.74280739530387,-2.66836950704751,73.7549
Microcebus simmonsi,-40.939059618696064,-4.978187573411155,73.7549
Microcebus tavaratra,-39.977031810630415,-10.55718220975075,73.75489999999999
Microcebus bongolavensis,-42.60670749067073,-1.35141227978956,73.7549
Microcebus ravelobensis,-42.644788794307146,-2.16055624884924,73.7549
Microcebus danfossi,-44.30378523784313,-0.96473714114236,73.7549
Microcebus griseorufus,-43.05994204140645,1.7235610532846253,73.7549
Microcebus murinus,-43.60496599284425,2.839607598379355,73.7549
Lepilemur otto,-24.76547269915945,-37.34533802673713,73.75490999999998
Lepilemur edwardsi,-27.38955752704142,-35.57853403811696,73.75490999999998
Lepilemur microdon,-21.619555876662965,-38.765083898456496,73.75491
Lepilemur tymerlachsoni,-22.22034198466001,-33.589621770894865,73.75491
Lepilemur milanoii,-25.491988101409746,-32.88518975514789,73.75491
Lepilemur ankaranensis,-23.30894209450154,-34.88767647175035,73.75491
Lepilemur sahamalazensis,-24.3788557615278,-34.75569646815529,73.75491
Lepilemur mittermeieri,-23.61849829880656,-33.068817169280884,73.75491
